method_is_get,method_is_post,uri_length,uri_depth,has_query,query_length,special_char_count,digit_ratio,url_encoded_count,has_double_encoding,path_traversal_count,has_sensitive_file,has_cmd_keyword,has_sql_keyword,is_binary_request,status_code,is_4xx,is_5xx,user_agent_length,is_empty_user_agent,is_bot_user_agent,ip,timestamp,size,referrer
1,0,26,2,0,0,3,0.038461538461538464,0,0,0,0,0,1,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:45 +0000,989,https://jcw.directionclock.top/
1,0,37,2,0,0,3,0.02702702702702703,0,0,0,0,0,1,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:46 +0000,339427,https://jcw.directionclock.top/assets/login-DTBGlT4R.css
1,0,22,2,0,0,2,0.0,0,0,0,1,0,0,0,200,0,0,114,0,0,220.196.160.75,08/Mar/2026:20:32:46 +0000,3810,https://jcw.directionclock.top/login?redirect=/index
1,0,37,2,0,0,3,0.02702702702702703,0,0,0,0,0,1,0,301,0,0,11,0,0,106.55.201.50,08/Mar/2026:20:32:57 +0000,185,-
1,0,37,2,0,0,3,0.02702702702702703,0,0,0,0,0,1,0,200,0,0,11,0,0,106.55.201.50,08/Mar/2026:20:32:57 +0000,339427,http://jcw.directionclock.top/assets/login-background-ogIC_p6I.png
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,70,0,0,198.211.110.154,08/Mar/2026:20:44:03 +0000,143,-
1,0,12,1,0,0,2,0.0,0,0,0,0,0,0,0,404,1,0,70,0,0,198.211.110.154,08/Mar/2026:20:44:04 +0000,143,http://101.42.240.142/
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,70,0,0,180.101.244.12,08/Mar/2026:20:46:35 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,70,0,0,180.101.245.246,08/Mar/2026:20:46:49 +0000,143,-
1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,404,1,0,70,0,0,180.101.244.15,08/Mar/2026:20:46:49 +0000,143,-
